student_id,major_code,registration_date,status
S1000,ENG,2024-12-19,pending
S1001,CS,2024-07-05,pending
S1002,CS,2024-05-27,active
S1003,BUS,2025-04-26,
S1004,ENG,2025-02-21,active
X6638,BUS,2025-03-19,cancelled
S1006,BIO,2024-11-05,cancelled
S1007,UNKNOWN,2024-09-12,invalid
S1008,LAW,2025-04-05,cancelled
S1009,CS,2024-09-05,
S1010,ENG,2024-11-22,active
S1011,CS,2024-06-19,cancelled
S1012,BIO,2024-06-07,
S1013,LAW,2024-10-01,cancelled
S1014,BIO,2025-04-16,pending
S1015,BIO,2024-09-08,active
S1016,ENG,2025-03-15,pending
S1017,UNKNOWN,2024-09-29,invalid
S1018,CS,2025-03-08,pending
S1019,CS,2024-10-12,cancelled
S1020,CS,2025-05-14,
S1021,LAW,2024-08-17,pending
S1022,BIO,2025-02-11,cancelled
S1023,LAW,2024-06-05,cancelled
S1024,LAW,2099-99-99,active
S1025,LAW,2024-06-20,cancelled
S1026,ENG,2025-01-01,cancelled
S1027,BUS,2024-12-20,pending
S1028,CS,2025-01-05,
S1029,BIO,2025-04-04,active
S1030,CS,2024-11-28,cancelled
S1031,ENG,2025-04-01,pending
S1032,LAW,2024-06-18,active
S1033,BUS,2024-09-24,active
S1034,CS,2025-04-29,invalid
S1035,ENG,2024-10-10,invalid
S1036,LAW,2024-05-25,invalid
S1037,CS,2024-11-12,invalid
S1038,BUS,2024-07-23,invalid
S1039,UNKNOWN,2025-01-18,pending
S1040,ENG,2024-07-25,cancelled
S1041,BUS,2025-03-08,
S1042,BUS,2024-10-27,pending
S1043,LAW,2024-10-08,
X7658,BIO,2024-11-01,invalid
S1045,ENG,2024-11-06,invalid
X2194,BIO,2024-07-21,
S1047,ENG,2025-05-14,cancelled
S1048,CS,2025-02-24,active
S1049,BUS,2025-01-25,
S1050,ENG,2025-03-30,active
S1051,CS,2025-02-23,
S1052,BIO,2025-02-15,cancelled
S1053,LAW,2024-06-22,active
S1054,BUS,2024-12-11,invalid
S1055,BUS,2024-07-31,pending
S1056,LAW,2024-09-25,active
S1057,LAW,2024-12-23,pending
S1058,LAW,2025-05-10,invalid
S1059,BUS,2024-09-05,invalid
S1060,CS,2025-03-08,
S1061,CS,2024-10-24,invalid
S1062,BIO,2025-02-28,
S1063,UNKNOWN,2024-08-07,invalid
S1064,UNKNOWN,2025-04-23,cancelled
X5055,BIO,2024-11-29,active
S1066,ENG,2025-04-05,cancelled
S1067,CS,2025-03-30,
S1068,LAW,2025-03-26,active
S1069,BIO,2025-04-15,
S1070,BIO,2024-06-21,active
S1071,LAW,2025-02-11,active
S1072,BUS,2024-07-24,invalid
S1073,ENG,2025-04-05,
S1074,CS,2024-09-08,cancelled
S1075,BIO,2024-08-25,active
X3997,LAW,2024-12-24,cancelled
S1077,CS,2024-11-30,invalid
S1078,CS,2024-09-23,cancelled
S1079,CS,2024-06-18,pending
S1080,BUS,2024-12-16,active
S1081,ENG,2024-06-22,
S1082,UNKNOWN,2025-01-07,pending
S1083,BUS,2024-07-19,active
S1084,BUS,2024-09-20,cancelled
S1085,BUS,2025-02-12,pending
S1086,CS,2024-10-17,pending
S1087,CS,2099-99-99,invalid
S1088,ENG,2024-09-28,active
S1089,ENG,2025-04-16,cancelled
S1090,LAW,2024-09-12,cancelled
S1091,LAW,2024-07-20,pending
S1092,LAW,2024-06-23,pending
S1093,LAW,2024-06-04,active
S1094,BIO,2025-01-13,
S1095,UNKNOWN,2025-01-06,active
S1096,LAW,2024-06-12,active
S1097,BUS,2024-12-09,invalid
S1098,BUS,2024-06-04,
S1099,UNKNOWN,2025-05-04,
S1100,BUS,2025-02-04,cancelled
S1101,ENG,2024-10-16,invalid
S1102,ENG,2024-08-16,pending
S1103,LAW,2024-08-26,cancelled
S1104,LAW,2024-12-03,cancelled
S1105,CS,2025-01-20,pending
X5259,ENG,2025-01-07,pending
S1107,BIO,2024-10-18,pending
S1108,BIO,2024-09-26,
S1109,CS,2024-06-06,cancelled
S1110,CS,2025-01-21,cancelled
S1111,BUS,2025-04-05,pending
S1112,ENG,2024-12-14,invalid
S1113,BIO,2025-05-12,active
S1114,BUS,2025-03-03,active
S1115,ENG,2025-04-21,pending
S1116,LAW,2024-07-14,pending
S1117,BUS,2024-09-02,active
S1118,BIO,2024-11-22,active
S1119,BIO,2024-11-11,active
S1120,BUS,2024-08-14,invalid
S1121,ENG,2024-06-16,invalid
S1122,BUS,2025-05-12,pending
S1123,UNKNOWN,2025-02-08,
S1124,BUS,2025-01-13,active
S1125,CS,2099-99-99,active
S1126,ENG,2025-05-09,invalid
X7502,ENG,2024-08-21,active
S1128,CS,2024-06-25,
S1129,BUS,2024-12-10,
S1130,LAW,2024-09-30,pending
S1131,UNKNOWN,2024-06-30,active
S1132,ENG,2024-08-13,cancelled
S1133,BIO,2024-09-04,cancelled
S1134,LAW,2024-08-28,pending
S1135,UNKNOWN,2024-06-30,active
S1136,CS,2024-09-04,cancelled
S1137,BUS,2025-03-03,
S1138,LAW,2024-07-24,invalid
S1139,BUS,2025-04-25,active
S1140,LAW,2025-05-03,pending
S1141,BIO,2024-10-18,invalid
S1142,CS,2025-01-19,invalid
S1143,ENG,2024-08-16,invalid
S1144,BIO,2024-06-30,
S1145,CS,2024-08-21,
S1146,BUS,2099-99-99,invalid
S1147,ENG,2024-12-08,active
S1148,ENG,2024-10-17,invalid
S1149,ENG,2024-05-17,invalid
S1150,BIO,2025-01-27,invalid
S1151,BIO,2024-05-21,
S1152,BIO,2025-03-04,
S1153,BIO,2024-06-14,invalid
S1154,ENG,2025-02-11,cancelled
S1155,CS,2024-09-07,invalid
S1156,CS,2024-08-16,pending
S1157,CS,2024-10-06,
S1158,CS,2025-03-18,active
S1159,CS,2025-05-05,cancelled
S1160,BIO,2025-05-03,active
S1161,LAW,2024-08-09,invalid
S1162,BIO,2024-12-05,invalid
S1163,BIO,2024-10-23,
S1164,CS,2024-11-12,cancelled
S1165,BIO,2099-99-99,cancelled
S1166,ENG,2025-04-20,active
S1167,CS,2025-05-11,active
S1168,LAW,2024-12-26,invalid
S1169,LAW,2024-08-24,
S1170,ENG,2024-12-01,invalid
S1171,BIO,2024-07-24,invalid
S1172,ENG,2024-06-10,
S1173,BUS,2024-08-23,active
S1174,ENG,2024-07-15,pending
S1175,ENG,2025-04-04,pending
S1176,ENG,2025-02-16,
S1177,BIO,2025-04-02,active
S1178,BUS,2024-06-14,active
S1179,BIO,2025-03-08,pending
S1180,ENG,2024-07-09,active
S1181,BIO,2025-02-13,pending
S1182,BUS,2024-11-30,invalid
S1183,UNKNOWN,2024-12-28,pending
S1184,LAW,2024-11-19,
S1185,CS,2025-02-03,
S1186,CS,2024-06-07,invalid
S1187,BIO,2024-12-06,
S1188,BIO,2025-02-13,cancelled
S1189,BIO,2025-03-13,
S1190,BUS,2025-05-09,active
X5148,ENG,2024-07-19,cancelled
S1192,BUS,2024-12-09,cancelled
S1193,BUS,2024-12-19,invalid
S1194,ENG,2024-12-05,invalid
S1195,UNKNOWN,2024-08-15,pending
S1196,ENG,2024-11-25,
S1197,ENG,2024-12-04,cancelled
S1198,ENG,2024-06-12,invalid
S1199,ENG,2025-03-10,active
S1200,UNKNOWN,2024-05-30,
S1201,LAW,2024-08-15,
S1202,ENG,2025-04-12,active
S1203,ENG,2024-07-05,cancelled
S1204,CS,2024-06-06,
S1205,BUS,2025-01-01,invalid
S1206,CS,2025-04-19,active
S1207,BIO,2024-06-15,cancelled
S1208,BUS,2025-01-13,pending
S1209,LAW,2024-10-08,invalid
S1210,UNKNOWN,2024-10-22,cancelled
S1211,ENG,2025-01-21,pending
S1212,BIO,2024-07-27,
S1213,CS,2025-03-28,
S1214,BUS,2024-12-15,cancelled
S1215,CS,2024-09-22,cancelled
S1216,BIO,2024-06-02,cancelled
S1217,ENG,2024-12-05,active
S1218,LAW,2025-03-23,pending
S1219,BUS,2024-07-29,active
S1220,ENG,2024-07-08,active
S1221,CS,2099-99-99,invalid
S1222,BIO,2024-12-18,active
S1223,BUS,2024-07-07,cancelled
S1224,ENG,2025-02-18,cancelled
S1225,ENG,2025-01-26,cancelled
S1226,CS,2024-08-08,active
S1227,CS,2024-10-05,
S1228,UNKNOWN,2024-05-23,
S1229,ENG,2025-05-08,cancelled
S1230,ENG,2024-06-06,invalid
S1231,BUS,2024-06-10,pending
S1232,CS,2024-12-02,active
S1233,UNKNOWN,2024-12-29,pending
S1234,LAW,2024-10-03,pending
S1235,LAW,2024-06-17,pending
S1236,BIO,2024-11-16,cancelled
S1237,UNKNOWN,2025-02-27,pending
S1238,BIO,2024-11-20,cancelled
S1239,LAW,2024-08-28,pending
S1240,CS,2024-11-23,
S1241,BIO,2024-05-29,
S1242,LAW,2024-09-14,active
S1243,ENG,2025-02-14,
S1244,BIO,2025-02-05,active
S1245,UNKNOWN,2024-06-26,invalid
S1246,BUS,2025-02-01,cancelled
S1247,LAW,2024-05-20,invalid
S1248,LAW,2025-03-06,active
S1249,BIO,2099-99-99,pending
S1250,ENG,2025-05-02,cancelled
S1251,LAW,2024-10-26,
S1252,LAW,2025-02-26,invalid
S1253,ENG,2025-02-23,invalid
S1254,ENG,2024-08-02,pending
S1255,CS,2025-02-19,cancelled
S1256,BUS,2024-05-15,cancelled
S1257,BUS,2025-03-30,active
S1258,CS,2024-12-14,pending
S1259,CS,2024-07-18,cancelled
S1260,ENG,2024-06-16,pending
S1261,ENG,2024-06-30,active
S1262,BIO,2024-11-06,pending
S1263,BUS,2025-03-03,cancelled
S1264,ENG,2024-12-01,invalid
X2138,BUS,2025-04-07,
S1266,UNKNOWN,2025-04-28,cancelled
S1267,LAW,2024-06-17,active
S1268,LAW,2025-02-19,pending
S1269,UNKNOWN,2024-12-13,pending
S1270,ENG,2025-05-09,cancelled
S1271,BIO,2025-03-23,active
S1272,ENG,2025-04-19,
S1273,ENG,2024-10-17,pending
S1274,BIO,2025-01-20,pending
S1275,CS,2025-03-24,cancelled
S1276,LAW,2024-07-13,active
S1277,BIO,2025-05-05,cancelled
S1278,CS,2025-05-03,invalid
S1279,CS,2024-08-13,cancelled
X2157,BIO,2024-11-30,
S1281,BUS,2025-01-22,pending
S1282,ENG,2024-09-07,invalid
S1283,BUS,2025-02-14,invalid
X3543,CS,2025-03-23,invalid
S1285,BUS,2025-04-16,
S1286,ENG,2025-01-18,cancelled
S1287,BIO,2024-10-01,active
S1288,BIO,2024-07-17,active
S1289,UNKNOWN,2025-02-19,invalid
X7084,LAW,2024-12-11,cancelled
S1291,BIO,2024-07-31,invalid
S1292,UNKNOWN,2025-03-01,pending
S1293,CS,2024-12-19,pending
S1294,CS,2025-02-07,
S1295,ENG,2024-08-02,
X8534,CS,2025-04-20,cancelled
S1297,BIO,2024-12-08,pending
S1298,CS,2024-06-17,pending
S1299,BUS,2024-12-01,cancelled
S1300,BUS,2025-05-10,cancelled
S1301,ENG,2025-02-25,invalid
X3622,BUS,2025-04-23,pending
S1303,CS,2025-01-12,cancelled
S1304,ENG,2024-05-26,
S1305,LAW,2024-10-17,pending
S1306,CS,2024-07-15,cancelled
S1307,LAW,2025-04-16,pending
S1308,BUS,2024-09-29,cancelled
S1309,LAW,2025-01-04,cancelled
S1310,BUS,2024-11-29,pending
S1311,BIO,2024-06-03,pending
S1312,UNKNOWN,2024-08-12,
S1313,BUS,2025-01-08,invalid
S1314,CS,2025-02-17,cancelled
S1315,LAW,2024-06-16,pending
S1316,UNKNOWN,2024-07-12,invalid
S1317,UNKNOWN,2024-12-17,invalid
S1318,LAW,2024-10-22,invalid
S1319,LAW,2024-09-28,
S1320,ENG,2024-09-02,cancelled
S1321,LAW,2025-03-03,active
S1322,BUS,2025-02-05,invalid
S1323,CS,2025-02-05,active
S1324,LAW,2025-02-16,
S1325,BIO,2024-07-24,cancelled
S1326,LAW,2024-07-12,pending
S1327,LAW,2025-02-14,active
S1328,ENG,2024-08-01,pending
S1329,BIO,2024-05-31,pending
S1330,LAW,2025-04-22,
S1331,BIO,2025-04-12,pending
S1332,BUS,2024-11-29,cancelled
S1333,LAW,2025-05-05,invalid
S1334,BUS,2024-05-25,active
S1335,BUS,2024-09-15,invalid
S1336,LAW,2024-12-13,invalid
S1337,ENG,2024-10-02,invalid
S1338,BIO,2025-01-05,active
S1339,BIO,2024-06-06,pending
S1340,BUS,2025-03-29,invalid
S1341,CS,2024-10-23,cancelled
S1342,LAW,2024-05-22,cancelled
S1343,UNKNOWN,2024-06-09,
S1344,BUS,2024-07-26,invalid
S1345,ENG,2025-01-06,invalid
S1346,BIO,2024-05-25,invalid
S1347,ENG,2025-03-21,cancelled
S1348,CS,2024-08-01,pending
S1349,ENG,2025-03-22,pending
S1350,ENG,2024-05-22,active
S1351,UNKNOWN,2025-03-09,
S1352,BUS,2025-04-08,invalid
S1353,BUS,2024-06-30,cancelled
S1354,BIO,2024-11-18,cancelled
S1355,BIO,2024-08-23,cancelled
S1356,CS,2024-11-29,cancelled
S1357,BIO,2024-12-29,invalid
S1358,BIO,2099-99-99,pending
S1359,ENG,2025-04-01,
S1360,BIO,2024-10-10,active
S1361,ENG,2025-03-29,pending
S1362,LAW,2024-09-20,invalid
S1363,LAW,2025-04-30,active
S1364,BUS,2024-06-19,active
S1365,CS,2024-10-21,cancelled
S1366,LAW,2024-07-16,cancelled
S1367,BUS,2024-12-07,pending
S1368,BIO,2024-07-06,cancelled
S1369,LAW,2025-02-23,cancelled
S1370,BIO,2024-09-23,active
S1371,BUS,2024-05-24,
S1372,ENG,2025-03-30,active
S1373,CS,2024-11-01,active
S1374,LAW,2025-03-12,pending
S1375,BIO,2025-04-19,
S1376,ENG,2024-08-17,invalid
S1377,ENG,2025-02-10,active
S1378,LAW,2024-10-19,active
S1379,BIO,2024-10-10,invalid
S1380,LAW,2024-10-04,active
S1381,LAW,2024-06-13,invalid
S1382,BUS,2024-06-02,cancelled
S1383,UNKNOWN,2024-11-29,invalid
S1384,UNKNOWN,2024-09-06,cancelled
S1385,BUS,2024-07-03,cancelled
S1386,BUS,2025-04-16,invalid
S1387,BUS,2024-07-11,invalid
S1388,LAW,2024-07-30,invalid
S1389,BIO,2025-02-19,pending
S1390,LAW,2025-01-27,
S1391,LAW,2025-04-06,
S1392,ENG,2024-09-30,pending
S1393,BUS,2024-05-28,pending
S1394,CS,2024-09-25,invalid
S1395,ENG,2024-09-26,
S1396,LAW,2024-11-16,
S1397,LAW,2024-12-23,invalid
S1398,UNKNOWN,2024-08-17,
S1399,ENG,2025-02-25,invalid
S1400,CS,2025-01-15,active
S1401,LAW,2025-04-16,pending
X2101,ENG,2024-06-08,
S1403,ENG,2025-03-11,cancelled
S1404,ENG,2024-12-07,active
S1405,UNKNOWN,2024-10-22,pending
S1406,LAW,2024-12-03,
S1407,LAW,2025-04-16,invalid
S1408,BUS,2024-05-17,
S1409,BIO,2024-08-04,pending
S1410,BIO,2024-06-09,active
S1411,LAW,2025-01-20,pending
S1412,CS,2024-07-16,invalid
S1413,BIO,2024-07-23,active
S1414,CS,2024-07-27,cancelled
S1415,ENG,2025-04-20,invalid
S1416,BUS,2024-10-20,cancelled
S1417,BUS,2025-02-18,invalid
S1418,BUS,2024-05-15,
S1419,BIO,2024-10-02,pending
S1420,LAW,2025-03-27,active
S1421,UNKNOWN,2024-07-12,cancelled
S1422,UNKNOWN,2024-10-23,pending
S1423,ENG,2024-08-06,invalid
S1424,LAW,2024-08-16,
S1425,CS,2025-03-31,cancelled
S1426,BUS,2025-05-05,
S1427,BUS,2024-12-01,pending
S1428,LAW,2024-08-25,cancelled
S1429,CS,2024-11-12,invalid
S1430,UNKNOWN,2025-02-23,active
X9589,ENG,2024-05-30,invalid
S1432,LAW,2025-03-07,
S1433,ENG,2025-01-31,active
S1434,ENG,2025-02-10,invalid
S1435,BUS,2024-12-10,pending
S1436,LAW,2024-08-07,invalid
S1437,BUS,2024-09-21,pending
S1438,LAW,2025-02-11,cancelled
S1439,ENG,2024-07-28,cancelled
S1440,CS,2024-06-24,
S1441,BIO,2099-99-99,
S1442,BUS,2024-07-29,cancelled
S1443,CS,2024-11-05,pending
S1444,ENG,2025-02-02,invalid
S1445,BIO,2024-11-27,active
S1446,ENG,2024-08-16,
S1447,CS,2025-01-14,cancelled
S1448,BIO,2024-08-18,pending
S1449,CS,2025-04-08,invalid
S1450,BUS,2025-04-14,invalid
S1451,BIO,2024-11-22,pending
S1452,CS,2025-01-11,pending
S1453,BUS,2024-11-23,pending
S1454,BUS,2024-11-09,active
S1455,BIO,2024-08-13,
S1456,BUS,2024-07-18,active
S1457,LAW,2025-04-09,cancelled
X2322,BIO,2024-11-22,pending
S1459,LAW,2024-12-23,cancelled
S1460,BIO,2024-11-12,cancelled
S1461,LAW,2024-08-26,cancelled
S1462,ENG,2025-04-19,pending
S1463,BIO,2024-11-21,
S1464,BUS,2024-10-30,active
S1465,ENG,2024-07-28,active
S1466,LAW,2024-09-26,invalid
S1467,LAW,2024-12-23,pending
S1468,BUS,2025-01-02,
S1469,LAW,2025-02-24,active
S1470,LAW,2024-07-08,invalid
S1471,ENG,2024-05-16,cancelled
S1472,BUS,2024-12-20,active
S1473,LAW,2024-11-01,active
S1474,BIO,2025-01-23,cancelled
S1475,BUS,2024-11-07,invalid
S1476,BIO,2024-06-30,active
S1477,UNKNOWN,2025-02-04,pending
S1478,UNKNOWN,2024-08-02,cancelled
S1479,ENG,2024-05-15,cancelled
S1480,LAW,2025-04-07,pending
S1481,ENG,2025-03-24,pending
S1482,CS,2025-03-31,active
S1483,ENG,2024-09-14,cancelled
S1484,ENG,2024-12-08,active
S1485,BIO,2024-09-01,active
S1486,BUS,2025-04-30,invalid
S1487,BIO,2024-11-01,active
S1488,ENG,2024-08-11,active
S1489,BIO,2025-03-24,invalid
S1490,CS,2025-03-31,
S1491,BUS,2024-08-18,cancelled
S1492,BIO,2024-08-02,
S1493,ENG,2024-10-16,cancelled
S1494,CS,2025-01-24,cancelled
S1495,LAW,2024-05-24,cancelled
S1496,CS,2025-04-21,active
S1497,BUS,2024-07-22,pending
